Question,DocumentAnswer1,DocumentAnswer2,DocumentAnswer3
How can I add a rate shock?,"CREATING A RATE SHOCK SCENARIO

1. Go to Multiple Sims
<Base64Image>

2. Click on Edit on the Shock Scenarios window
<Base64Image>

3. Populate the Shock Scenarios grid: Rate Shock Name, Shock Mnemonic, and Shock Number. Select either Parallel or Relative as a Shock Type. Choose an appropriate Rate Source. Enter Parallel Amount if the shock type is Parallel (e.g. up 100 bps – “0.01”, or down 50 bps – “-0.005”)
<Base64Image>

4. If the Shock Type is Relative, populate the Shock Data grid with the Mnemonics of the curve that is being shocked and the amount of shock that should be applied for each period. 
Filename: empyrean:Rate Shocks & Alternate Scenarios Tutorial.pdf_001_0001_with_image
Score: 0.704366922
"," Question: What would be the best way for me to add a 25bps shock scenario to the model?  I currently have 50bps, 100bps,200bps,300bps, and 400bps.  I also have some rate shock scenarios that I accidentally created when I ran multiple scenarios on the Up400Bps shock that I would like to remove.  Answer: To create 25bps parallel shock scenario please complete the following steps: 	a. Open your multiple sims window and click on Edit button under Shock Scenarios. 	b. On the empty row, create a rate shock scenario by setting Rate Shock Name, Shock Mnemonic, and Shock Number, choosing Parallel as a Shock Type, selecting Flat Forecast (keeps equations) for the Rate Source, and specifying 0.0025 as a Parallel Amount. Then, click on Save & Close. 	c. The scenario should appear on your Rate Shocks Window: To delete scenarios, please do the following: 	a. Go to Manage Scenarios under Model Setup 	b. Highlight a scenario that you would like to delete (in my example Shock: Up 25 Parallel) and then click on delete 	c. You will get a warning requesting to confirm that you would like to delete the scenario (please make sure that you are deleting the right scenario). If that is scenario you would like to delete, proceed with deleting. 
Filename: empyrean:sample_question_answer_0011
Score: 0.577121258
","Question: I ran a rate shock scenario and the rate shock is doubled.  What went wrong? Answer:  It is possible you ran a shock scenario using a rate shock as the parent, essentially doubling the rate shock (a shock of a shock). 
Filename: empyrean:Question and Answer jb - UAT - 10-30.pdf_003
Score: 0.576581776
"
How can I create alternative scenarios?,"Question: How do I create a new what if scenario? Answer: Any type of scenarios that's  not rate scenario are created under ""Manage Scenarios"" 
Filename: empyrean:Questions_Kimy_0005
Score: 0.66633141
","CREATING AN ALTERNATE SCENARIO

1) Go to Manage Scenarios
7
2) Click on Add
<Base64Image>
3) Populate Scenario Name, Scenario Number, Mnemonic, and Description (Optional). Choose a
parent in the Parent Scenario dropdown. Click on Ok 
Filename: empyrean:Rate Shocks & Alternate Scenarios Tutorial.pdf_007_0005_with_image
Score: 0.624453604
","Alternate Scenarios    • A scenario is an “integrated future view”, not limited to just rates or volume forecast differences    • Alternate scenarios can inherit from parent scenarios allowing surgical modification of forecast    • Changes to data in a parent scenario are automatically inherited by child scenarios unless child data is scenario specific    • Simulation results are separate for each scenario    • CP instruments may be filtered using any user criteria by scenario    • Capability for special ‘rate shock’ scenarios where 2 historical rates exist for current position 
Filename: empyrean:2021 Training Lessons vf _ ANON.pdf_032_0004_text
Score: 0.553294361
"
How can I roll the model forward?,"Operating Procedures - ROLLING THE MODEL FORWARD

1. Go to DB Tools
2. Click on Maintenance
3. Select or Enter the new current position date in the Desired New CP Date dropdown
<Base64Image>
4. Change the value in the Maximum Forecast Periods box only if it is lower than your forecast horizon (in Months). The Maximum Forecast Periods value allocates space for a potential forecast horizon. Actual simulation periods are specified each time a simulation is performed and may be less than the allocated maximum. Reserving unnecessarily large space simply wastes computer resources and may impede performance.
5. Check Clear Historical Rate before & change the date to be the new current position date.
6. Check the Clear OAS & Static Spreads box
7. Select All in the Scenario to Modify dropdown
8. Check the Clear Simulation Results box
9. Check the Clear Multi Sim-Results Group box
10. Check the Clear Instrument Results box
11. Check the Clear Forecast Data box
12. Select Set Values to Zero
13. Check the Clear Forecast Targets box
14. Check the Clear Spread Adjustments box
15. Check the Clear Exogenous box
16. Check the Clear Yield Curves and Indices box 
Filename: empyrean:Operating Procedures_ALM.pdf_002_0003_with_image
Score: 0.468667328
","Question: How do I create an alternate view? Answer:	Alternate Views are created under ""Model Settings"" / ""Alternate Views"". Create new rollups and assign existing planning accounts to them. 
Filename: empyrean:Questions_Kimy_0010
Score: 0.393587112
","Question: How do I upgrade my model to the new version? Answer:	Before upgrading your model to the new version, make sure to make a copy of your model. To upgrade your model to the new version, simply lauch the new version and point to the database you want to upgrade and follow the steps on your screen. 
Filename: empyrean:Questions_Kimy_0009
Score: 0.367470562
"
How can I stress deposit betas?,"### Modeling Deposit Rates: Beta  #### Graph Overview: - **X-axis**: Timeline ranging from `2000-01` to `2018-01` - **Y-axis**: Values ranging from `-` to `7.00`  The graph provides an illustrative example of beta modeling and showcases three curves: 1. **FFE (Blue)**: Starts high around `7.00` in 2000, dips significantly in the middle years, and gradually rises again towards 2018. 2. **Moving Avg (Orange)**: Follows a trajectory similar to FFE but is smoother, showing the effects of averaging. 3. **Variable Moving Avg (Gray)**: Shows more fluctuations compared to the other two curves, especially in later years.  #### Key Points: 1. **Deposit Betas Variation**: The betas for deposits can differ based on the Financial Institution (FI), the type of product, geography, and the specific customer segment they cater to.  2. **Modeling Techniques**: Commonly, one and two-factor models are used. Some might include time lags or utilize moving averages for better prediction accuracy.  3. **Rate Environments**: Some FIs adjust their models based on the prevailing rate environment. For instance, they might apply different factors (or speeds) for scenarios where rates are rising versus when they are declining.  4. **Book Differences**: Betas for the front book and back book deposits might exhibit significant differences.  5. **CD vs. NMD Betas**: Betas for Certificate of Deposit (CD) are typically closer to `1.0` compared to Non-Maturity Deposit (NMD) betas.  6. **Customer Sophistication**: The beta value can increase based on the sophistication or wealth of the customer. For instance, high-net-worth (HNW) customers may have a different beta compared to mass market customers. 
Filename: empyrean:2021 Training Lessons vf _ ANON.pdf_092_0049_text
Score: 0.538944364
","Modeling Deposit Rates : Beta “Beta” is a general term that describes how product or portfolio rates respond to changes in wholesale market interest rates (e.g., Fed Funds Rate) 	• Some betas are outputs and represent an aggregation of individual product rates, e.g.: 		o Industry deposit beta (average for all deposits across all FIs) 		o Deposit portfolio beta 		o Loan portfolio beta 	• Beta as an input: 		o Is specific to a customer type / product combination (e.g., Consumer MMDA) 		o Is most often applied to products with administered rates which, in general, are most prevalent on deposit rates 	• When betas are used as inputs to calculate expected changes in product rates: 		o Are generally articulated as a percentage; e.g., MMDA beta of 40% or 0.40, means that for a 100 bp movement in the reference rate, there will be a 40 bp movement in the product rate 		o Modeled betas generally are input as equations or look-up tables 
Filename: empyrean:2021 Training Lessons vf _ ANON.pdf_091_0048_text
Score: 0.512785673
","**Use dynamic income and balance sheet analytics**  Scenario Analytics  Growth scenario 	• Commercial loan volumes up 	• Projected credit losses decrease 	• Assets lengthen 	• NMD/time deposit ratio shifts 	• Deposit and loan betas mixed  Weakening scenario  	• Credit losses up 	• Loan durations shorten 	• NMDs continue to build 	• Loan and deposit rates are floored 
Filename: empyrean:2021 Training Lessons vf _ ANON.pdf_132_0074_text
Score: 0.442616
"
Why is my coupon resetting to zero?,"Question: Why is my coupon resetting to zero?   Please ensure that LifetimeCap (The absolute upper limit for the interest rate if modified) is not set to 0 and that the ResetIndex (Mnemonic of the curve or index to use in any subsequent re-pricing; may be expressed as a user equation starting with “=”) is not equal to 0 or does not point to a curve or index with a value of 0  source:   """"LifetimeCap Double Absolute maximum interest rate""""  """"ResetIndex Text Mnemonic of the curve or index to use in any subsequent re-pricing; may be expressed as a user equation starting with “=”."""" 
Filename: empyrean:Question and Answer jb - UAT - 10-30.pdf_015
Score: 0.823258
","Question: Would you be able to explain why the interest on my non maturity deposits does not change in the my market value cashflow calculation? Answer:  Normally for market value calculation Empyrean uses Implied forwards for the coupons when the reset index is based off of a yield curve. This modelling assumption can be overridden in the Valuation section of Non-Maturity Partitions. The field that controls this is titled Coupon Type. Based on what you described, it appears that  you might have have the Coupon Type set to Fixed. As a result, this is might override the implied forward calculation.  
Filename: empyrean:sample_question_answer_0042
Score: 0.410917342
","Partitions Settings - Reset Pricing: The following settings are only applicable to accounts with Pricing Method set to Floating.Reset Price Index: The yield curve, rate index, or formula which an instrument reset to.     Reset Price Term: The term point on a yield curve that a product resets to. Expressed in months. A “-1” in this field indicates the term will be based off Reset Months. Only required if the Reset Price Index references a Yield Curve.     Reset Sprd Add: Reset product spread added to Reset Price Index/Term. Expressed in decimals.     Reset Sprd Index: Reference to a spread lookup table (for multi-dimensional)     Reset Spread Add information     Reset Months: The number of months between rate resets. “0” indicates that the instrument floats (rate changes whenever the reset index changes).     Reset Lockout: Optional number of months between the issue date and the first reset date. This property only applies to new business. 
Filename: empyrean:Partitions Settings Tutorial.pdf_003_0003_text
Score: 0.377546161
"
What is an AmortDate?,"Question: What is an Amortdate?  AmortDate The date used to compute any level payment or straight line payment amortization  The AmortDate does not control the amortization of fees and is different from the MaturityDate which is the date on which pricipal is repaid 
Filename: empyrean:Question and Answer jb - UAT - 10-30.pdf_016
Score: 0.746074378
","DPAmortDate      Version 20.12.0 includes a new fixed income database field DpAmortDate (and Fixed Income partition   specification field DpAmortMths for marginal instruments) to shorten the end-date for amortization of   discounts and premiums. This will allow users to accrete/amortize discounts/premiums over a period   shorter than the remaining term. At the DpAmortDate, remaining balances balloon for the purpose of   yield calculations. Any DpAmortDate value longer than the instrument maturity will be ignored.    
Filename: empyrean:DPAmort_20.12.0.pdf_001_0003_text
Score: 0.542478144
","### Modeling Step Ups  **Loan description:**  - ExerciseDate = Options Date = 7/1/2021 - MaturityDate = Balloon Date = 7/1/2026 - AmortDate = 7/1/2044  ---  **Step Up Schedule:**  | Date      | Rate     | |-----------|----------| | 20-Sep-14 | 3.625%   | | 30-Sep-15 | 3.875%   | | 30-Sep-16 | 4.125%   | | 30-Sep-17 | 4.375%   | | 30-Sep-18 | 4.625%   | | 30-Sep-19 | 4.875%   | | 30-Sep-20 | 5.125%   | | 30-Sep-21 | 5.375%   | | 30-Sep-22 | 5.625%   | | 30-Sep-23 | 5.875%   | | 30-Sep-24 | 6.125%   | | 30-Sep-25 | 6.375%   | | 30-Sep-26 | 6.625%   |  ---  The step-up coupons and step-up dates are embedded in a “Piecewise Defined” (PWD) function with dates quoted either in days from 1/1/1900 or using a date function Date(YYYY,MM,DD).  **The PWD function would look something like this (using the ResetIndex field):**  `=PWD(CurrDate,0.03625,42277,0.03875,42643,0.04125,43008,0.04375,43373,0.04625,43738,0.04875,44104,0.05125,44469,0.0575,44834,0.05625,45199,0.05875,45564)`  ---  **Interpretation of the results:**  - The principal amortization (AmortCF) is calculated over the amortization term ending on 7/1/2044 - The Fees (CurrBook – CurrFace) are amortized (DPAmort) over the contractual/balloon term ending on 7/1/2026 - The loan is repaid in full at the Exercise date of 7/1/2021  ---  Single Security example attached.  https://empyreansolutions.zohodesk.com/portal/en/kb/articles/model-step-ups 
Filename: empyrean:model-step-ups.pdf
Score: 0.486961663
"
What is the difference between PeriodicCap & LifetimeCap?,"Partitions Settings -  Pricing – Other: <Base64Image> Additional pricing information utilized for new business assumptions First Periodic Cap: Rate change ceiling at the first reset (only). Expressed in decimals. Periodic Cap: Rate change ceiling at each reset. Expressed in decimals. Life Abs Cap: Absolute rate ceiling at reset on all instruments and initial pricing on new instruments. Expressed in decimals. Life Rel Cap: Relative rate ceiling at reset on all instruments and initial pricing on new instruments. Expressed in decimals. Life Floor: Absolute rate floor at reset on all instruments and initial pricing on new instruments. Expressed in decimals. Int Compound Freq: The number of times per year that interest is compounded to principal. • Monthly – Interest compounds into principal every month • Quarterly – Interest compounds into principal every 3 months • Semi-Annual – Interest compounds into principal every 6 months • Annual – Interest compounds into principal every 12 months 
Filename: empyrean:Partitions Settings Tutorial.pdf_004_0004_with_image
Score: 0.453475118
","REVOLVERS      The Revolver account class is a hybrid with features of both the Non-maturity and Fixed Income classes. Like Non-   maturity there is no absolute maturity or termination date specified. Accruals are treated as compounded interest   accounting flows, not cash flows, and are posted on the instrument’s cycle date into the outstanding balance. All   cash flows are either increases or decreases in the outstanding balance, controlled using prepayment models and   targets.    
Filename: empyrean:Empyrean User Guide 22.12.pdf_026_0058_text
Score: 0.344290763
"," **APPENDIX C: CLASS CALCULATORS AND SECURITY BUILDING**  **REVOLVERS**   The Revolver account class is a hybrid with features of both the Non-maturity and Fixed Income classes. Like Non- maturity there is no absolute maturity or termination date specified. Accruals are treated as compounded interest accounting flows, not cash flows, and are posted on the instrument’s cycle date into the outstanding balance. All cash flows are either increases or decreases in the outstanding balance, controlled using prepayment models and targets. Unlike Non-maturity, Revolver instruments simulate future cash flows and accruals past the end-of-month like Fixed Income. Therefore, each instrument contributes individually to the account’s total periodic outcome, whereas non-maturity accounts assume homogeneous treatment of all balances within a partition each period. Prepayment models, such as FBM (Factor Balance Method), can affect both increases and decreases in the future balances of each instrument to emulate each instrument’s assumed lifecycle. Net reductions in balance, after both principal and interest, are categorized as principal flows (both voluntary and involuntary) with net increases as compounded interest. Where balance increases exceed the compounded interest, the difference is considered a cash flow. Revolving instruments can be fixed rate or floating, and individual accounts can contain both types. Although the life of each instrument is a function of the prepayment table, there are certain financial methods that require a specific calendar termination date – designated here as the Promo End Date. It is used like a maturity date to account for any discount accretion or premium amortization as well as the termination date for deferred interest promotions. Interest rate coupons are set using both an initial rate and, if floating, the subsequent reset rates, with all the techniques and resources available to Fixed Income instruments. Revolvers may also be simulated as non-par instruments, with the limitation that the discount accretion or premium amortization must be done using the Remaining Balance method – a form of the level yield method. Users may find this account type appropriate for credit cards, lines of credit, or even deposit accounts where vintage is a contributing factor in the simulation. The Revolver account was created specifically to handle credit cards with deferred interest features such as “no interest if paid in full” and with merchant discount fees. 
Filename: empyrean:Empyrean User Guide 22.12.pdf_187_0259_text
Score: 0.342179358
"
Why are results not exporting to my controller statement?,"Question: Why are results not exporting to my controller statement?    Please ensure that the controller statement is in the upper left hand corner of a named range with a name that begins with """"EMP_"""" and that is contrains enough information to uniquely identify the value to be placed in an Excel cell at the intersection of the row and column headers.  Source: """"Most forecast results and support data may be imported or exported to and from specially formatted named ranges in Microsoft Excel, thus providing a convenient means of collecting and populating scenario assumptions and for creating reports. Data imports and exports are available using the Import/Export option found under the File menu. The sections of any user created Excel file used for importing or exporting must be defined Excel Named Ranges with names that begin with “EMP_”. Other named ranges may exist in the Excel file but will simply be ignored by Empyrean. Avoid creating Excel worksheet names that begin with “EMP_” else Empyrean will unnecessarily include them in the list of available ranges.""""  AND   """"The location of these various headers is specified in the Export Controller, which must be in the upper left-hand corner cell of the range.""""  AND  """"The Export Controller is a text string of key value pairs, separated by semi-colons. The left-hand side of each key value pair identifies characteristic of the key as listed below. The left and right are connected via an equal sign. At a minimum, the Controller must contain enough information to uniquely identify the value to be placed in an Excel cell at the intersection of the row and column headers. 
Filename: empyrean:Question and Answer jb - UAT - 10-30.pdf_017
Score: 0.75466311
","EXPORT CONTROLLER KEYS

<Base64Image>

The Export Controller is a text string of key value pairs, separated by semi-colons. The left-hand side of each key value pair identifies characteristic of the key as listed below. The left and right are connected via an equal sign. At a minimum, the Controller must contain enough information to uniquely identify the value to be placed in an Excel cell at the intersection of the row and column headers. Valid left-hand side characteristic keys are as follows:

Account – the name, mnemonic, or other designation of specific elements within a group, such as the accounts in a balance sheet or income statement, individual rates among the yield curves and indices, or exogenous accounts.

Category – one of the many categories or properties of an account, such as the average or end-of-period balance, interest accruals, or yield, etc. Categories are designated using their shortnames, such as MktVal and EOPCoupon, or for gaps SGap, LGapPO, or LGapPrepayCF. See Empyrean data references in Appendix B for more. Typically, these short names appear as column headers in Empyrean’s editors. For interest rates the Category defaults to Rate if unspecified. To force exports of end-or-period rates without regard to the period date or period span, use EOPRates as the Category. Categories FTP and EOPFTP are supported to report data from the FTP Historical Rate Database. To export KRD Sim results, use Category=KRD- “Term” to export the market value change from base. To report the absolute market value, use Category=KRDMV- “Term”. Examples include “KRD - 1M” to report the KRD 1 -month change from base or “KRD MV- 10Y” to report the KRD 10 -year market value.

Period – for indicating the date, period number or span of periods to use for data in the Account and Category of the cell. See Import/Export Keywords for ways to designate spans. Integer period numbers convert to beginning-of-period dates when applied to interest rate exports.

Entity – The number (EntityNum) or mnemonic (EntityMn) corresponding to the entity values you wish to export. If a model has multiple entities and an entity row/column is not provided in the export, the ‘current’ entity selected on the HOME tab is used.

Scenario – the Empyrean scenario that is the source of the data to be exported. Scenarios may be designated using scenario numbers or mnemonics. Child scenarios in automated rate shocks are given compound names by Empyrean using both parent and child mnemonics. In scenario names, the value <current> may be used to automatically refer to the current scenario. <Current> is the default value if the Scenario Key is not provided.

Scalar – a multiplicative value to be applied to non-rate categories for transforming exported values.

Term – the secondary designation necessary for yield curves to indicate the intended point on the curve, express in months. Curve interpolation will be applied where necessary.

Indent – when combined with account names this integer value causes Empyrean to pad the account name with the indicated number of spaces. Negative values strip out leading characters in a name.

DayOfMonth – available to indicate a specific day within a month where the period headers are simple integers.

ShowDefaults (only applicable for Settings export) - If set to ‘true’, ‘yes’, or ‘1’, the settings export will write the inherited or default value for any partition value that is not provided. If set to ‘false’, ‘no’, or ‘0’, (the default value), unspecified partition values will export as a blank cell.

ShowNulls (only applicable for Settings export) – If set to ‘true’, ‘yes’, or ‘1’ (the default value to match import behavior), the settings export will write the text ‘NULL’ for any partition value that is not provided. If set to ‘false’, ‘no’, or ‘0’, unspecified partition values will export a s a blank cell.

IMPORTANT: ShowDefaults=true takes precedence over ShowNulls. For example, if a child partition’s AccuralMtd is not set, it will inherit the value of the base partition. When ShowDefaults=true, the child partition export will display the base partition’s accrual method such as US30_360. If ShowDefaults=false, the child partition export will display either a blank cell or the text ‘NULL’ depending on the value of ShowNulls.

ReportType – available to indicate “InstrumentsMV” to export instrument market value results.

The right-hand side of each key value pair indicates the range’s row or column that holds the values indicated by the right-hand side. For range rows use the abbreviation RngRow followed by the number of the row relative to the range, not the worksheet. If the values are in the first row in the range use RngRow1. For values in columns use RngCol. If the accounts are in the second column of the range, it would appear in the Controller as Account=RngCol2. For absolute row and column references, use Row and Col such as Account=ColD; Period=Row4.

In circumstances where the desired account, category, or period, etc. is a constant throughout the range it is possible to assign the constant as the value in the right-hand side of the key value pair. For example, if the referenced period is 12 everywhere in the range, just use Period=12 as a key value pair in the Controller with no column or row header required.

In the following report, Net Interest Income (NII) and Net Income After Tax (NIAT) are compared in each of the parallel rate shocks. Results are for annual summaries for both year 1 (Y1) and year 2 (Y2). Use of <current> in the designations of the shock scenarios means this report template can be used with any parent scenario that has rate shock child scenarios. 
Filename: empyrean:Empyrean User Guide 22.12.pdf_125_0220_with_image
Score: 0.449727714
","EXPORT INSTRUMENT RESULTS -  When simulations are run with ‘Instrument Write’ set to ‘CP Only’ or ‘CP + Marginal’, users can export these result values to CSV files for use in other applications. The CSV file may also be compressed to ZIP format. When export is selected, the user can select scenarios for which to export results:  <Base64Image> 
Filename: empyrean:Empyrean User Guide 22.12.pdf_135_0231_with_image
Score: 0.449114978
"
Why is my effective duration not being calculated?,"APPENDIX G: EFFECTIVE DURATION & CONVEXITY

Empyrean calculates duration and convexity as Effective Duration and Convexity. Using the market value method chosen by the user, three market values are generated: the base case market value, the value with the rates shocked up, and the value with the rates shocked down. The duration and convexity (slope and curvature) are calculated as follows:

Effective Duration is calculated using the following formula: <Base64Image>

Where,
i= change in yield
P = Base Market Value
0
P = Market value if yields increase by i
+
P = Market value if yields decline by i
–

Effective Convexity is calculated using the following formula: <Base64Image>

Where the variables are as described above.

Duration is a linear estimate, but convexity is not. Therefore, Empyrean keeps track of each of these market values and accumulates them into the summation lines to enable the calculation of duration and convexity for each total line. 
Filename: empyrean:Empyrean User Guide 22.12.pdf_256_0324_with_image
Score: 0.582392871
","**Discount Accretion / Premium Amortization Calculations**  ---  **Variables:**  - `AvgAmTarget`: Average Face at period `i` (or `0` for notional balances) - `EopAmTarget`: End of period Face at period `i` (or `0` for notional balances) - `RemainingDP`: `security.CurrBook` - `Security.CurrFace` - `IntAccrual`: Accrued interest for period `i`  ---  **Formulas:**  1. **For All Level Yield Methods**     - \( \text{Yield} \) = described above for each method    - \( \text{YrFraci} \) = \(\frac{\text{#Days in Period i}}{\text{#Days in Year (based on ActualMethod)}}\)    - \( \text{dpAmti} \) = \( ((\text{Yield} \times \text{YrFraci} ) \times (\text{AvgAmTargeti} + \text{BopRemainingDPi} ) - \text{IntAccruali} ) \)    - \( \text{EopRemainingDPi} \) = \( \text{BopRemainingDPi} - \text{dpAmti} \)    - \( \text{AvgBooki} \) = \( \text{AvgFacei} + \text{BopRemainingDPi} \) (all DpAmt realized at end of period)  2. **For All Constant Yield Methods**        All constant yield methods calculate an end of period target book value by holding the Beginning of Period Yield constant.        - \( \text{BopYieldi} \) = described above for each method    - \( \text{NPVi} \) = end of period present value from BopYield    - \( \text{TargetDPBali} \) = \( \text{NPVi} - \text{EOPAmTargeti} \)    - \( \text{dpAmti} \) = \( \text{TargetDPBali} - \text{BopRemainingDPi} \)    - \( \text{EopRemainingDPi} \) = \( \text{BopRemainingDPi} - \text{dpAmti} \)    - \( \text{AvgBooki} \) = \( \text{AvgFacei} + \text{BopRemainingDPi} \) (all DpAmt realized at end of period) 
Filename: empyrean:DPAmort_20.12.0.pdf_000_0001_text
Score: 0.434142649
","Question: Is there any way to calculate Macaulay Durations within Empyrean? Answer:  It is not possible to calculate a Macauley duration in Empyrean, effective duration is the only method supported by the application. 
Filename: empyrean:sample_question_answer_0004
Score: 0.433533818
"
Why is WAL not being calculated?,"Question: How do I get Empyrean to calculate WAL? Answer:	Set the ""Average Life Calc"" option under ""Single Sim"" or ""Multi Sims"" to the desired frequency. 
Filename: empyrean:Questions_Kimy_0038
Score: 0.501243353
","LINKED INDICES  Rate indices may be linked to yield curves or other rate indices. A link mnemonic in the rate setup allows for computation using link properties. These properties may include term point on a curve, lag factor, simple rate or monthly moving average selection, constant spread, caps, floors, and rounding factor. Users will have access to a dropdown for existing yield curves and rate indices.  Note: When a linked index is displayed in the editor, values are dynamically calculated based on parameters. They are not editable.  LINKED INDICES CALCTYPES  Single Rate:  Represents a calculation from a single date of a linked rate. Utilizes additive spread, caps, floors, and rounding factors. Monthly Average:  Calculates the monthly average of a linked rate. Rate Add, Abs. Cap, and Abs. Floor are used on the linked rate's average, not each individual rate. Daily Compound:  Demonstrates the value of 1.00 from the origination date of a compounded index like SOFR. Formula: SOFR Index = Product of (1 + (SOFR_i * n_i / DaysInYear)) Where: i = Business days SOFR_i = Linked SOFR rate for day i n_i = Days SOFR_i is applied DaysInYear = Day count convention days in a year. Daily Compound Average:  Represents a daily compounded rate over a range of days. Formula: SOFR Average (x,y) = [(SOFR Index_y / SOFR Index_x) - 1] * (360/dc) Where: x = Start date y = End date dc = Calendar dates in the calculation period. PROPERTIES FOR EACH LINKED INDEX CALCTYPE  CalcType	Pricing Term Mths	Pricing Lag Factor	Pricing Lag Type	Rate Add	Abs. Cap	Abs. Floor	Round To	Day Count	Calendar Ref Single Rate	Y	-	-	Y	Y	Y	Y	Y	Y Monthly Average	Y	Y2	Y3	Y4	Y4	Y4	Y2	-	- Daily Compound	-	-	-	-	-	-	-	-	- Daily Compound Average	-	-	-	-	-	-	-	-	- Footnotes:  LinkedRate as a yield curve uses Pricing Term Mths. Lag factor sets the start date for Monthly Average and Daily Compound Average. The end date is the evaluation date. Monthly Average type requires Pricing Lag Type to be Month. Monthly Average's Rate Add, Abs. Cap, and Abs. Floor apply to the linked rate's average, not each rate. Daily Compound's Linked Rate should be another index. The rate is requested a day before the calculation date. Daily Compound Average can only link to a Daily Compound rate type. 
Filename: empyrean:Empyrean User Guide 22.12.pdf_034_0072_text
Score: 0.316764653
","### **Valuation Methods:**  **The following are calculations that explain the formula usage behind each of the available conventions.**  ---  **• Discounted Cash Flow (DCF)**  - **Purpose**: Utilizes discount information provided in the partition (Discount Index / Spread Index) to calculate the market value of the instrument.    - **Variables**:   - Periodic Cash Flow: `CF`   - Discount Rate (DR): `DiscountIndex + (DiscountSpreadAdd or DiscountSpreadIndex)`    - **Formula**: \[ \text{DCF} = \frac{CF1}{(1 + DR)^1} + \frac{CF2}{(1 + DR)^2} + \dots + \frac{CFn}{(1 + DR)^n} \]  ---  **• OAS – Paths**  - **Purpose**: Utilizes calculated Option Adjusted Spread to calculate market value of an instrument. (Note: Only applicable if OAS is used by the Institution).  - **Variables**:   - Periodic Cash Flow: `CF`   - Discount Rate (DR): `Option Adjusted Spread (OAS) calculated`    - **Formula**: \[ \text{DCF} = \frac{CF1}{(1 + DR)^1} + \frac{CF2}{(1 + DR)^2} + \dots + \frac{CFn}{(1 + DR)^n} \]  ---  **• DCF – Sec Level**  - **Purpose**: Utilizes a spread based on individual market value information provided in the Institutions CP level information. (Note: Only applicable if Spread Solver is used by the institution).  - **Variables**:   - Periodic Cash Flow: `CF`   - Discount Rate (DR): `base rate + Individual Security Spread (implied)`    - **Formula**: \[ \text{DCF} = \frac{CF1}{(1 + DR)^1} + \frac{CF2}{(1 + DR)^2} + \dots + \frac{CFn}{(1 + DR)^n} \]  ---  **Note**: Cash flow generation is sensitive to the environment in which they operate. When using cash flow discounting, the Empyrean calculates and uses the implied forward rates of all the referenced curve as of the valuation date. 
Filename: empyrean:Empyrean Calculations_21.06.pdf_004_0002_text
Score: 0.302629292
"
How do I add another account?,"Question: How to add a new planning account calculation? Answer:	Instrument and planning account calculations can only be added via coding. 
Filename: empyrean:Questions_Kimy_0015
Score: 0.466838479
","Question: How do I add a new balance sheet account to my chart of accounts? Answer:	Accounts are created under ""Model Settings"". For balance sheet accounts, select ""Balance Sheet Accounts"" to add, modify or delete an account. 
Filename: empyrean:Questions_Kimy_0002
Score: 0.463819146
","Question: How do I add a partition to a new account. Answer: Anytime you create a new account on the Balance Sheet it will be given a corresponding line item in the partitions based on the classification (fixed income to fixed income partition as an example).  You’ll just need to assign the necessary partition settings for each account. 
Filename: empyrean:sample_question_answer_0031
Score: 0.460412979
"
